OBJECTID,DATASET_E,DATASET_C,ADDRESS_E,ADDRESS_C,SEARCH1_E,SEARCH1_C,SEARCH2_E,SEARCH2_C,NSEARCH1_E,NSEARCH1_C,NSEARCH2_E,NSEARCH2_C,NSEARCH3_E,NSEARCH3_C,NSEARCH4_E,NSEARCH4_C,NSEARCH5_E,NSEARCH5_C,LATITUDE,LONGITUDE,GeometryLongitude,GeometryLatitude
39,Building information and age records,樓宇資料及樓齡紀錄,8 KA SIU CLOSE KENSINGTON GREEN BLK A,粉嶺 嘉兆里8號 嘉兆軒 A座,North,北區,New Territories,新界,2060503,2060503,NT63/2000(OP),NT63/2000(OP),2000-12-05,2000-12-05,Tower,座,Residential/Composite,住宅/綜合用途,22.49715592,114.1380969,114.13809690025175,22.497155920209593
40,Building information and age records,樓宇資料及樓齡紀錄,TOP VIEW MANSION 10 (FORMERLY KNOWN AS 7-14) CANAL RD W,冠景樓 堅拿道西10號,Wan Chai,灣仔,Hong Kong,香港島,2147493,2147493,H275/66,H275/66,1966-08-11,1966-08-11,Tower,座,Residential/Composite,住宅/綜合用途,22.27872191,114.18095,114.18095000044218,22.278721909588512
41,Building information and age records,樓宇資料及樓齡紀錄,9 CHUK KOK HONG HAY VILLA HSE 2,西貢 竹角9號 康曦花園 2號洋房,Sai Kung,西貢,New Territories,新界,5038832,5038832,NT185/91,NT185/91,1991-12-31,1991-12-31,Tower,座,Residential/Composite,住宅/綜合用途,22.34712286,114.2603743,114.26037429963424,22.347122859632293
42,Building information and age records,樓宇資料及樓齡紀錄,9 CHUK KOK HONG HAY VILLA HSE 1,西貢 竹角9號 康曦花園 1號洋房,Sai Kung,西貢,New Territories,新界,5038837,5038837,NT185/91,NT185/91,1991-12-31,1991-12-31,Tower,座,Residential/Composite,住宅/綜合用途,22.34721896,114.2603961,114.26039610010002,22.347218960286853
43,Building information and age records,樓宇資料及樓齡紀錄,9 CHUK KOK HONG HAY VILLA HSE 10,西貢 竹角9號 康曦花園 10號洋房,Sai Kung,西貢,New Territories,新界,5038880,5038880,NT185/91,NT185/91,1991-12-31,1991-12-31,Tower,座,Residential/Composite,住宅/綜合用途,22.34665667,114.2601797,114.26017969983332,22.346656669969377
44,Building information and age records,樓宇資料及樓齡紀錄,SHATIN RACECOURSE ADMINISTRATION BUILDING THE HONG KONG JOCKEY CLUB 6001 TAI PO RD SHA TIN,香港賽馬會 沙田 大埔公路-沙田段6001號,Sha Tin,沙田,New Territories,新界,5080408,5080408,NT155/79,NT155/79,1979-11-26,1979-11-26,Tower,座,Others,其他,22.40331768,114.2085433,114.20854329983354,22.40331768026681
45,Building information and age records,樓宇資料及樓齡紀錄,SHATIN RACECOURSE CENTRAL COMPLEX BUILDING THE HONG KONG JOCKEY CLUB 6001 TAI PO RD SHA TIN,香港賽馬會 沙田 大埔公路-沙田段6001號,Sha Tin,沙田,New Territories,新界,5095871,5095871,NT29/2000(OP),NT29/2000(OP),2000-08-03,2000-08-03,Tower,座,Others,其他,22.40321976,114.2089104,114.20891040039476,22.403219760283775
46,Building information and age records,樓宇資料及樓齡紀錄,SHATIN RACECOURSE COMPUTER COMPLEX BUILDING THE HONG KONG JOCKEY CLUB 6001 TAI PO RD SHA TIN,香港賽馬會 沙田 大埔公路-沙田段6001號,Sha Tin,沙田,New Territories,新界,5095909,5095909,NT146/79,NT146/79,1979-11-20,1979-11-20,Tower,座,Others,其他,22.40179227,114.2050463,114.2050463004465,22.401792269997316
47,Building information and age records,樓宇資料及樓齡紀錄,16 BIG WAVE BAY RD,大浪灣道16號,Southern,南區,Hong Kong,香港島,5107763,5107763,D376/48,D376/48,1948-12-04,1948-12-04,Tower,座,Residential/Composite,住宅/綜合用途,22.23967508,114.2491568,114.2491568003461,22.23967508024083
48,Building information and age records,樓宇資料及樓齡紀錄,YA QUN LODGE THE CHINESE UNIVERSITY OF HONG KONG MA LIU SHUI SHA TIN,香港中文大學 雅群樓 沙田 馬料水,Sha Tin,沙田,New Territories,新界,5147763,5147763,NT251/89,NT251/89,1989-12-22,1989-12-22,Tower,座,Residential/Composite,住宅/綜合用途,22.42268024,114.2019614,114.20196140009864,22.422680240400837
49,Building information and age records,樓宇資料及樓齡紀錄,BONHAM TOWERS 88 BONHAM RD,般含閣 般咸道88號,Central & Western,中西區,Hong Kong,香港島,5154972,5154972,H57/70,H57/70,1970-04-28,1970-04-28,Tower,座,Residential/Composite,住宅/綜合用途,22.28380015,114.140341,114.14034100013714,22.283800150056948
50,Building information and age records,樓宇資料及樓齡紀錄,"CASTLE PEAK A POWER STATION - GARAGE, STORES & ANCILLARY OFFICE TAP SHEK KOK",青山A發電廠 屯門 踏石角,Tuen Mun,屯門,New Territories,新界,5169497,5169497,NT9/85,NT9/85,1985-01-16,1985-01-16,Tower,座,Others,其他,22.37451649,113.9179185,113.91791849983895,22.37451648974428
51,Building information and age records,樓宇資料及樓齡紀錄,KWAI FONG COMMERCIAL CENTRE 7 SHING FONG ST,葵芳商業中心 葵涌 盛芳街7號,Kwai Tsing,葵青,New Territories,新界,5169586,5169586,NT55/96,NT55/96,1996-05-16,1996-05-16,Tower,座,Office/Commercial,寫字樓/商業,22.36010825,114.1281718,114.12817179958893,22.36010824979593
52,Building information and age records,樓宇資料及樓齡紀錄,REGALIA BAY CLUB HOUSE 88 WONG MA KOK RD,黃麻角道88號,Southern,南區,Hong Kong,香港島,5241617,5241617,HK18/2003(OP),HK18/2003(OP),2003-03-29,2003-03-29,Tower,座,Others,其他,22.2084912,114.2131847,114.21318470001393,22.20849119980909
53,Building information and age records,樓宇資料及樓齡紀錄,ELECTRICAL SUBSTATION KWUN CHUNG ST,官涌街,Yau Tsim Mong,油尖旺,Kowloon,九龍,5273146,5273146,K384/63,K384/63,1963-11-08,1963-11-08,Tower,座,Others,其他,22.30364016,114.1685215,114.16852150016712,22.303640160265218
54,Building information and age records,樓宇資料及樓齡紀錄,RESIDENCE BEL-AIR PHASE 1 100 CYBERPORT RD,貝沙灣 數碼港道100號,Southern,南區,Hong Kong,香港島,5286035,5286035,HK38/2004(OP),HK38/2004(OP),2004-06-17,2004-06-17,Podium,平台,Residential/Composite,住宅/綜合用途,22.25773065,114.1323428,114.13234280038,22.257730650249357
55,Building information and age records,樓宇資料及樓齡紀錄,THE HILLGROVE ALDER BLK A1 9 TSING FAT LANE,漣山A1 屯門 青發里9號,Tuen Mun,屯門,New Territories,新界,5304175,5304175,NT48/2002(OP),NT48/2002(OP),2002-07-30,2002-07-30,Tower,座,Residential/Composite,住宅/綜合用途,22.36599593,114.0007247,114.00072469958525,22.365995929568555
